filename,duration_sec,sample_rate,channels
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_008.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 006 Picture 5 The Sick Man at the Pool 65173_009.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 007 Picture 6 Jesus Feeds 5000 People 65173_008.wav,8.496,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_005.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_006.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_007.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 008 Picture 7 Jesus Walks on the Water 65173_008.wav,14.819,16000,1
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_001.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_002.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_003.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_004.wav,15.0,16000,1
Yali LLL 7 JESUS - Lord Saviour 009 Picture 8 Jesus Heals a Blind Man 65173_005.wav,15.0,16000,1
